,tpv medio,segmento_ord,mcc_ord,bairro_ord,cidade_ord,regiao_ord,uf_ord,subcanal_de_vendas_ord,prob_default_60d,prob_default_mar,estimativa_limite,estimativa_juros_parcelados,estimativa_juros_rotativo
0,30000.0,17,114,481,342,3,19,2,0.9889371498937972,0.991022593197204,18448.316,3.2722728,8.180682063102722
1,20000.0,20,101,1304,342,3,19,2,0.8010960185892806,0.9015113373628306,21628.334,3.6115496,9.028874039649963
2,30000.0,10,92,1295,426,3,14,2,0.7477689033115835,0.7418923962167844,26567.97,3.4703422,8.6758553981781
3,14000.0,21,144,1297,500,3,15,2,0.9577570104045224,0.6485870091439074,11164.3545,5.379244,13.44810962677002
4,20000.0,10,92,368,8,3,15,2,0.983290245147432,0.9860563506651948,18852.72,3.597745,8.994362354278564
5,5000.0,20,131,1494,451,5,23,2,0.804846449406979,0.45184798216656663,2752.4888,6.243921,15.609802007675171
6,10000.0,11,73,1358,366,1,8,2,0.8341249004331202,0.6656647774533505,9693.869,4.892126,12.230315208435059
7,8300.0,20,101,1297,385,3,14,2,0.7782546755931241,0.8134720332663111,7966.8843,5.77611,14.440275430679321
8,15000.0,1,67,56,405,3,15,2,0.9730927423518789,0.9629564940929666,10370.402,4.6278296,11.569573879241943
9,20000.0,15,88,1298,198,3,15,2,0.8667387184275747,0.9396553454859343,19750.492,4.50937,11.273424625396729
10,20000.0,2,104,1297,95,3,15,2,0.9430402989810629,0.9245362662385462,18881.23,4.048787,10.121967792510986
11,8000.0,4,86,1295,349,3,15,2,0.829013412600855,0.8377099950016227,6618.2183,5.7085247,14.27131175994873
12,5000.0,1,48,1464,449,5,24,2,0.8786597132398765,0.6636566605215104,5488.089,6.1487374,15.371843576431274
13,45000.0,21,108,51,385,3,14,2,0.9898362619257991,0.9939406245107815,43408.51,2.5711362,6.42784059047699
14,20000.0,6,77,1466,405,3,15,2,0.730441081798625,0.8233397701229642,19113.371,3.6122742,9.030685424804688
15,40000.0,14,87,1,385,3,14,2,0.9848614084473964,0.9889282805989477,38173.387,2.8047662,7.011915445327759
16,45000.0,21,108,1297,489,1,16,2,0.8386495424852177,0.892065472945006,35122.875,2.8497536,7.124384045600891
17,20000.0,12,97,24,344,5,3,2,0.9623042385380799,0.9587230952581617,19123.633,4.4695916,11.173979043960571
18,15000.0,15,88,194,454,4,22,2,0.9901094723638879,0.9907391087189027,12787.68,5.4770865,13.692716360092163
19,35000.0,24,113,41,465,3,15,2,0.991044359733268,0.9942701533001556,28029.96,3.0291467,7.572866678237915
20,20000.0,10,92,1297,545,1,7,2,0.5128103589054139,0.4859795165361677,11600.058,5.200824,13.00205945968628
21,20000.0,14,87,586,355,1,16,2,0.9697688968608037,0.9715883187068085,16271.127,3.8109195,9.52729880809784
22,20000.0,10,92,1295,346,3,14,2,0.7856799044855713,0.8383219254785184,21403.725,4.46082,11.152050495147705
23,40000.0,24,113,1359,405,3,15,2,0.791917636623737,0.6586777386240615,40482.348,3.1116097,7.779024243354797
24,20000.0,13,98,512,354,3,15,4,0.977221696305692,0.9759901777204129,19236.348,3.2855384,8.21384608745575
25,20000.0,15,88,933,412,3,19,4,0.9669762408205985,0.9668920427419195,16331.456,4.0754995,10.188748836517334
26,10000.0,20,101,1284,445,3,15,1,0.8711456820014624,0.768905932402684,10099.022,5.2511463,13.1278657913208
27,8000.0,14,78,1297,375,3,15,2,0.81498990482487,0.8513187395679203,6623.442,5.8782425,14.695606231689453
28,90000.0,14,87,1403,405,3,15,2,0.8724842320405767,0.9107094060890009,56051.223,2.0165455,5.041363835334778
29,12000.0,12,97,1295,19,3,15,2,0.9463643684758513,0.9474003878456051,12998.005,4.425909,11.064772605895996
30,33300.0,20,101,1391,355,1,16,2,0.5095346107542633,0.5515583599242027,35645.445,2.9597764,7.3994410037994385
31,20000.0,21,108,1297,467,3,14,2,0.835692575390301,0.8573368334154047,17625.93,3.7957342,9.489335417747498
32,45400.0,13,98,1295,7,3,15,2,0.8870614270846217,0.9019071033247877,31564.748,4.0015855,10.003963708877563
33,15000.0,13,98,1297,473,1,8,2,0.8595473831540538,0.8170448992466831,12445.726,4.2423964,10.605990886688232
